lightblue ,"grayish, grey, gray ","gold, yellow, mustard, golden ",navy ,"bluish, blue, indigo, denim ","lightgrey, silver, light gray ","darkgrey, charcoal, black grey ","burlap, sand, taupe, tan, beige, light brown ","natural, neutral, greige, ivory, cream, off white ",black ,"pink, light pink, dark pink ",white  ,black and white ,"teal, light teal, dark teal "
"""light blue woven boho black out""","""grayish extra wide 110 sun blocking""","""gold extra wide 110 sun blocking""","""navy texture patio black out""","""bluish patio double black out""","""light gray extra wide 110 sun blocking""","""dark grey extra wide 110 sun blocking""","""burlap patio chambray sun block""","""natural patio chambray sun block""","""black texture patio black out""","""pink extra wide 110 sun blocking""","""white texture patio black out""","""black and white texture patio black out""","""teal extra wide 110 sun blocking"""
"""light blue woven boho sun block""","""grey extra wide 110 sun blocking""","""yellow extra wide 110 sun blocking""","""navy texture patio sun block""","""blue patio double black out""","""silver extra wide 110 sun blocking""","""charcoal extra wide 110 sun blocking""","""sand patio chambray sun block""","""neutral patio chambray sun block""","""black texture patio sun block""","""light pink extra wide 110 sun blocking""","""white texture patio sun block""","""black and white texture patio sun block""","""dark teal extra wide 110 sun blocking"""
"""light blue woven boho sun blocking""","""gray extra wide 110 sun blocking""","""mustard extra wide 110 sun blocking""","""navy texture patio sun blocking""","""indigo patio double black out""","""light grey extra wide 110 sun blocking""","""black grey extra wide 110 sun blocking""","""taupe patio chambray sun block""","""greige patio chambray sun block""","""black texture patio sun blocking""","""dark pink extra wide 110 sun blocking""","""white texture patio sun blocking""","""black and white texture patio sun blocking""","""light teal extra wide 110 sun blocking"""
"""light blue woven bohemian black out""","""grayish extra wide grommet black out""","""gold extra wide grommet black out""","""navy texture extra wide black out""","""denim patio double black out""","""light gray extra wide grommet black out""","""dark grey extra wide grommet black out""","""tan patio chambray sun block""","""ivory patio chambray sun block""","""black texture extra wide black out""","""pink extra wide grommet black out""","""white texture extra wide black out""","""black and white texture extra wide black out""","""teal extra wide grommet black out"""
"""light blue woven bohemian sun block""","""grey extra wide grommet black out""","""yellow extra wide grommet black out""","""navy texture extra wide sun block""","""bluish patio double sun block""","""silver extra wide grommet black out""","""charcoal extra wide grommet black out""","""beige patio chambray sun block""","""cream patio chambray sun block""","""black texture extra wide sun block""","""light pink extra wide grommet black out""","""white texture extra wide sun block""","""black and white texture extra wide sun block""","""dark teal extra wide grommet black out"""
"""light blue woven bohemian sun blocking""","""gray extra wide grommet black out""","""mustard extra wide grommet black out""","""navy texture extra wide sun blocking""","""blue patio double sun block""","""light grey extra wide grommet black out""","""black grey extra wide grommet black out""","""light brown patio chambray sun block""","""off white patio chambray sun block""","""black texture extra wide sun blocking""","""dark pink extra wide grommet black out""","""white texture extra wide sun blocking""","""black and white texture extra wide sun blocking""","""light teal extra wide grommet black out"""
"""light blue linen patio black out""","""grayish extra wide grommet sun block""","""gold extra wide grommet sun block""","""navy texture wide black out""","""indigo patio double sun block""","""light gray extra wide grommet sun block""","""dark grey extra wide grommet sun block""","""burlap patio chambray sun blocking""","""natural patio chambray sun blocking""","""black texture wide black out""","""pink extra wide grommet sun block""","""white texture wide black out""","""black and white texture wide black out""","""teal extra wide grommet sun block"""
"""light blue linen patio sun block""","""grey extra wide grommet sun block""","""yellow extra wide grommet sun block""","""navy texture wide sun block""","""denim patio double sun block""","""silver extra wide grommet sun block""","""charcoal extra wide grommet sun block""","""sand patio chambray sun blocking""","""neutral patio chambray sun blocking""","""black texture wide sun block""","""light pink extra wide grommet sun block""","""white texture wide sun block""","""black and white texture wide sun block""","""dark teal extra wide grommet sun block"""
"""light blue linen patio sun blocking""","""gray extra wide grommet sun block""","""mustard extra wide grommet sun block""","""navy texture wide sun blocking""","""bluish patio double sun blocking""","""light grey extra wide grommet sun block""","""black grey extra wide grommet sun block""","""taupe patio chambray sun blocking""","""greige patio chambray sun blocking""","""black texture wide sun blocking""","""dark pink extra wide grommet sun block""","""white texture wide sun blocking""","""black and white texture wide sun blocking""","""light teal extra wide grommet sun block"""
"""light blue linen extra wide black out""","""grayish extra wide grommet sun blocking""","""gold extra wide grommet sun blocking""","""navy texture double black out""","""blue patio double sun blocking""","""light gray extra wide grommet sun blocking""","""dark grey extra wide grommet sun blocking""","""tan patio chambray sun blocking""","""ivory patio chambray sun blocking""","""black texture double black out""","""pink extra wide grommet sun blocking""","""white texture double black out""","""black and white texture double black out""","""teal extra wide grommet sun blocking"""
"""light blue linen extra wide sun block""","""grey extra wide grommet sun blocking""","""yellow extra wide grommet sun blocking""","""navy texture double sun block""","""indigo patio double sun blocking""","""silver extra wide grommet sun blocking""","""charcoal extra wide grommet sun blocking""","""beige patio chambray sun blocking""","""cream patio chambray sun blocking""","""black texture double sun block""","""light pink extra wide grommet sun blocking""","""white texture double sun block""","""black and white texture double sun block""","""dark teal extra wide grommet sun blocking"""
